mots	semgram	lemfreq	surfreq	répartition
douter	(douter	13	4	
douter	(se douter	13	9	
enseignement		13		
évader	(pronom.)	13		
examen		13		
figure		13		
flanquer		13		
forêt		13		
former		13		
guérir		13		
habitant		13		
immeuble		13		
indispensable		13		
inspecteur		13		
latin	(nom et adj.)	13		
loi		13		
manche		13		
moral		13		
normalement		13		
notamment		13		
nourrir		13		
occupation		13		
officier opinion		13		
paire		13		
pavillon		13		
pendre		13		
piano		13		
plafond		13		
plier		13		
plier	(plier	13		
plier	(se plier	13		
poêle		13		
poème		13		
pratiquement		13		
prêter		13		
prêter	(prêter	13	12	
prêter	(se prêter	13	1	
principal		13		
principal	(principal (adj.)	13	9	
principal	(principal (nom.)	13	3	
principal	(principaux	13	1	
propos		13		
puits		13		
pur		13		
queue		13		
quinzaine		13		
réel		13		
réparation		13		
sauf	(adv.)	13		
septembre		13		
série		13		
supporter		13		
tempérament		13		
titre		13		
traction		13		
uniforme		13		
vendeur		13		
vendeur	(vendeur	13	7	
vendeur	(vendeuse	13	6	
version		13		
activité		12		
admirer		12		
aise		12		
ajouter		12		
alcool		12		
aspect		12		
assiette		12		
asticot		12		
attirer		12		
bas	(vêtement)	12		
bel		12		
boche		12		
brevet		12		
caractère		12		
changement		12		
chanson		12		
cité		12		
collection		12		
commode	(adj.)	12		
complexe	(nom.)	12		
contrat		12		
courant		12		
courant	courant	12	8	
courant	courante	12	4	
dactylo	(personne et dactylographe)	12		
degré		12		
désagréable		12		
direction	(route)	12		
disparaître		12		
doubler		12		
écrouler		12		
électricité		12		
endormir		12		
endormir	(endormir	12	8	
endormir	(s'endormir	12	4	
entièrement		12		
établir		12		
établir	(établir	12	10	
établir	(s'établir	12	2	
éviter		12		
exprimer		12		
exprimer	(exprimer	12	4	
exprimer	(s'exprimer	12	8	
fantastique		12		
feutre		12		
frais		12		
goûter		12		
goûter	(goûter (transitif)	12	11	
goûter	(goûter (intransitif)	12	1	
gouvernement		12		
gris		12		
gris	gris	12	9	
gris	grise	12	3	
janvier		12		
lampe		12		
liberté		12		
littéraire		12		
machiner		12		
maire		12		
marin		12		
matériel		12		
mentalité		12		
misère		12		
mordre		12		
neveu		12		
noeud		12		
nourriture		12		
os		12		
os	(os (sing.)	12	3	
os	(os (plur.)	12	9	
pardessus		12		
patte		12		
pire		12		
plage		12		
planter		12		
planter	(planter	12	11	
planter	(se planter	12	1	
poterie		12		
premièrement		12		
preuve		12		
propriété		12		
racine		12		
rapidement		12		
réalité		12		
réchauffer		12		
réchauffer	(réchauffer	12	6	
réchauffer	(se réchauffer	12	6	
réclamer		12		
régime		12		
régler		12		
rembourser		12		
renvoyer		12		
réunir		12		
réunir		12		
réunir	(réunir	12	9	
réunir	(se réunir	12	3	
rouleau		12		
savant		12		
savant	savant	12	1	
savant	savante	12	5	
sixième		12		
tâcher		12		
taille		12		
taire		12		
taire	(taire	12	3	
taire	(se taire	12	9	
tasse		12		
température		12		
ton	(nom.)	12		
touriste		12		
tracteur		12		
traiter		12		
vapeur		12		
villa		12		
vocation		12		
voleur		12		
voleur	voleur	12	11	
voleur	voleuse	12	1	
adapter		11		
adapter	(adapter	11	5	
adapter	(s'adapter	11	6	
adorer		11		
aile		11		
amateur		11		
anormal		11		
anormal	anormal	11	3	
anormal	anormaux	11	3	
auprès		11		
auquel		11		
automatiquement		11		
avantage		11		
avril		11		
bibliothèque		11		
bocal		11		
bocal	bocal	11	9	
bocal	bocaux	11	2	
boucher	(verbe.)	11		
boule		11		
boule	(boule	11	6	
boule	(boule (pomme d'adan)	11	2	
boule	(boule (de pain)	11	1	
boule	(boule (se mettre)	11	2	
cadre		11		
cadre	(cadre (menuiserie,etc	11	5	
cadre	(cadre (personnel)	11	6	
cahier		11		
civil		11		
coiffure		11		
conseil		11		
constater		11		
contenir		11		
couverture		11		
dégoûter		11		
démarrer		11		
détail		11		
dizaine		11		
domicile		11		
dommage		11		
éclairer		11		
économe		11		
électricien		11		
enfermer		11		
enfermer	(enfermer	11	9	
enfermer	(s'enfermer	11	2	
enregistrement		11		
enseigner		11		
être	(nom.)	11		
excuser		11		
excuser	(excuser	11	5	
excuser	(s'excuser	11	6	
fin		11		
fin	fin	11	7	
fin	fine	11	4	
fonctionner		11		
furieux		11		
furieux	furieux	11	4	
furieux	furieuse	11	7	
gifle		11		
glisser		11		
glisser	(glisser	11	5	
glisser	(se glisser	11	6	
goutte		11		
gronder		11		
grossier		11		
grossier	(grossier	11	9	
grossier	(grossière	11	2	
guère		11		
illustre		11		
imposer		11		
imposer	(s'imposer	11	7	
imposer	(imposer	11	4	
inscrire		11		
inscrire	(inscrire	11	7	
inscrire	(s'inscrire	11	4	
interdire		11		
inutile		11		
kirsch		11		
léger		11		
léger	léger	11	6	
léger	légère	11	5	
liste		11		
malheur		11		
manche		11		
manque		11		
méchant		11		
méchant	méchant	11	5	
méchant	méchante	11	6	
médaille		11		
mercredi		11		
munir		11		
nature		11		
nôtre	(le)	11		
ouverture		11		
poids		11		
populaire		11		
population		11		
poste	(p.t.t.)	11		
poudre		11		
poupée		11		
printemps		11		
privé		11		
privé	(privé (nom.)	11	2	
privé	(privé (adj.)	11	9	
procès		11		
psychiatre		11		
quoique		11		
rang		11		
rapide	(nom. et adj.)	11		
renseigner		11		
renseigner	(renseigner	11	5	
renseigner	(se renseigner	11	6	
remplir		11		
ressortir		11		
roi		11		
seau		11		
secret		11		
secrétaire		11		
sentiment		11		
shampoing		11		
signer		11		
silence		11		
souhaiter		11		
spirite		11		
style		11		
suffisant		11		
suffisant	suffisant	11	8	
suffisant	suffisante	11	3	
taxe		11		
trajet		11		
transformer		11		
transformer	(transformer	11	10	
transformer	(se transformer	11	1	
usage		11		
vache		11		
viande		11		
vider		11		
violon		11		
accorder		10		
accorder	(accorder	10	7	
accorder	(s'accorder	10	3	
accueillir		10		
attaquer		10		
attaquer	(attaquer	10	8	
attaquer	(s'attaquer	10	2	
atteindre		10		
automobile		10		
avertir		10		
baron		10		
baron	baron	10	2	
baron	baronne	10	8	
bigre !		10		
boucher	(nom.)	10		
bouton		10		
bouton	(bouton (vêtement)	10	5	
bouton	(bouton (mécanique)	10	4	
bouton	(bouton (pathologie)	10	1	
bricoler		10		
brosse		10		
cabine		10		
cadeau		10		
cantine	(restaurant)	10		
carrément		10		
caserne		10		
chanteur		10		
chasser		10		
cheftaine		10		
ciel		10		
cireuse		10		
cloche		10		
cochon		10		
colère		10		
collègue		10		
comédie		10		
communiste		10		
communiste	(nom.)	10	5	
communiste	(adj.)	10	5	
composition		10		
concevoir		10		
consacrer		10		
contrôler		10		
corde		10		
coton		10		
coupe		10		
coupe	(coupe (en forêt)	10	5	
coupe	(coupe (schéma)	10	1	
coupe	(coupe (échantillon de tissu	10	3	
coupe	(coupe (verre)	10	1	
critiquer		10		
cuire		10		
dentiste		10		
dépôt	(magasin, chemnin de fer. etc.)	10		
développer		10		
développer	(développer	10	6	
développer	(se développer	10	4	
disposer		10		
économie		10		
effectivement		10		
embarquer		10		
embarquer	(embarquer	10	7	
embarquer	(s'embarquer	10	3	
entraîner		10		
entraîner	(entraîner	10	9	
entraîner	(s'entraîner	10	1	
entretien		10		
exposition		10		
fabriquer		10		
fonctionnaire		10		
franchement		10		
gai		10		
gâteau		10		
geler	(et "se geler")	10		
hauteur		10		
herbe		10		
impeccable		10		
incroyable		10		
inspection		10		
jugement		10		
juger		10		
lessive		10		
marque		10		
mars		10		
matinée		10		
ministre		10		
minuit		10		
moule		10		
moulin		10		
nettement		10		
niveau		10		
nu		10		
ombre		10		
or	(conjonction)	10		
oreiller		10		
oriental		10		
oriental	oriental	10	4	
oriental	orientaux	10	6	
ours		10		
pantalon		10		
pâte		10		
patelin		10		
peintre		10		
pénétrer		10		
pharmacien		10		
pharmacien	pharmacien	10	9	
pharmacien	pharmacienne	10	1	
pion		10		
pis	(comparatif)	10		
plaque		10		
plomb		10		
poireaux		10		
port		10		
position		10		
préparation		10		
pronostic		10		
redescendre		10		
régulièrement		10		
reliure		10		
répétition		10		
réponse		10		
réunion		10		
rêve		10		
rêver		10		
roue		10		
rouspéter		10		
satisfaire		10		
science		10		
scientifique		10		
séjour		10		
signaler		10		
spécialiser		10		
station		10		
supplémentaire		10		
terme		10		
théâtral		10		
tonnerre		10		
traitement		10		
valable		10		
vêtements		10		
vexer		10		
vivant		10		
vivant	vivant	10	8	
vivant	vivante	10	2	
vôtre		10		
académie		9		
accessoire	(nom.)	9		
acteur		9		
acteur	acteur	9	8	
acteur	actrice	9	1	
affiche		9		
affoler		9		
affoler	(affoler	9	3	
affoler	(affoler	9	9	
appuyer		9		
assister		9		
bac	(baccalauréat)	9		
baignoire		9		
bagarre		9		
beau	(avoir...)	9		
bénéfice		9		
bifteck		9	5	
bistrot		9		
bonsoir		9		
boucle		9		
boucle	(boucle (technique)	9	4	
boucle	(boucle (de cheveux)	9	4	
boucle	(boucle (ornement)	9	1	
calcul		9		
canadien		9		
canadien	(canadien (nom.)	9	5	
canadien	(canadien (adj.)	9	2	
canadien	(canadienne (adj.)	9	2	
capitaine		9		
carré		9		
carré	(carré (nom.)	9	3	
carré	(carré (adj.)	9	6	
cependant		9		
certificat		9		
chantier		9		
charge		9		
charretier		9		
charretier	(charretier (nom.)	9	8	
chasseur		9		
chasseur	(chasseur (de gibier	9	2	
chasseur	(chasseur (soldat)	9	2	
chasseur	(chasseur (groom)	9	3	
chasseur	(chasseur (avion)	9	2	
chômage		9		
circuit		9		
circuler		9		
coiffer		9		
col	(montagne)	9		
collège		9		
commission		9		
commission	(assemblée	9	3	
commission	(bénéfice	9	3	
commission	(course	9	3	
comparer		9		
composer		9		
composer	(composer	9	7	
composer	(se composer de	9	2	
comptable		9		
conception		9		
conducteur		9		
conférence		9		
consister		9		
corsage		9		
coude		9		
coude	(coude à coude	9	1	
coude	(objet cousé	9	6	
coude	(sens propre (anat	9	2	
cravate		9		
crochet		9		
crochet	(outil	9	7	
crochet	(itinéraire	9	1	
crochet	(vivre aux crochets	9		
crochet	(de	9	1	
cuisinière	(fourneau)	9		
culotte		9		
dame !		9		
debout		9		
déchirer		9		
déchirer	(déchirer	9	7	
déchirer	(se déchirer	9	2	
démolir		9		
dictionnaire		9		
diminuer		9		
doux		9		
doux	doux	9	5	
doux	douce	9	4	
duo		9		
éclairage		9		
élémentaire		9		
enquête		9		
envisager		9		
épouser		9		
étendre		9		
étendre	(étendre	9	8	
étendre	(s'étendre	9	1	
étouffer		9		
étroit		9		
étroit	étroit	9	2	
étroit	étroite	9	7	
existence		9		
exploitation		9		
fabrique		9		
facteur		9		
faible		9		
fêter		9		
fiancé		9		
fièvre		9		
foire		9		
fragile		9		
frite	(nom.)	9		
géographie		9		
hectare		9		
héros		9		
ignorer		9		
inconvénient		9		
individu		9		
inouï		9		
intellectuel		9		
intellectuel	(intellectuel (adj	9	3	
intellectuel	(intellectuel (nom	9	2	
intellectuel	(intellectuelle (nom	9	4	
jambon		9		
joie		9		
jouet		9		
jupe		9		
justice		9		
lecteur		9		
lecteur	lecteur	9	8	
lecteur	lectrice	9	1	
lesquels	(et lesquelles	9		
liaison		9		
licence		9		
limite		9		
lion		9		
lion	lion	9	8	
lion	lionne	9	1	
littérature		9		
lyrique		9		
malin		9		
malle		9		
maximum		9		
mériter		9		
mode		9		
modèle		9		
moine		9		
monnaie		9		
moquer	(pronom.)	9		
moquer	(se moquer	9	5	
moquer	(s'en moquer	9	4	
mouiller		9		
nerf		9		
nettoyage		9		
nièce		9		
noce		9		
noter		9		
oreille		9		
orgueil		9		
panier		9		
paroisse		9		
parti		9		
partir	(à .. de)	9		
paysage		9		
phénomène		9		
plancher		9		
poignée		9		
poil		9		
poil	(poil	9	5	
poil	(au poil	9	4	
pompe		9		
pompe	(pompe	9	8	
pompe	(à toute pompe	9	1	
pot		9		
poumon		9		
précis		9		
précis	précis	9	7	
précis	précise	9	2	
presser		9		
presser	(presser	9	6	
presser	(se presser	9	3	
prime		9		
principalement		9		
professionnel		9		
quoi que		9		
radiant		9		
rameau		9		
réaction		9		
reconstruire		9		
regard		9		
relever		9		
relever	(relever	9	7	
relever	(se relever	9	2	
remarier	(pronom.)	9		
rendez-vous		9		
renverser		9		
ressort		9		
sage		9		
salade		9		
sandwich		9		
sévère		9		
siège		9		
solution		9		
sonnet		9		
sonner		9		
souple		9		
sourire	(verbe.)	9		
sténo		9		
tâche		9		
tare		9		
téléphérique		9		
télévision		9		
tonneau		9		
totalement		9		
tourisme		9		
touristique		9		
tube		9		
usuel		9		
verser		9		
veuf		9		
veuf		9		
veuf	veuf	9	3	
veuf	veuve	9	6	
vingtaine		9		
visage		9		
vocabulaire		9		
vocal		9		
vocal	vocaux	9	1	
vocal	vocal	9	8	
vol		9		
vol	(vol (larcin)	9	5	
vol	(vol (aviation)	9	4	
volet		9		
volume		9		
volume	(volume (livre)	9	8	
volume	(volume (géométrie)	9	1	
abandonner		8		
adresse	(souscription)	8		
agent		8		
allumette		8		
appel		8		
assistant		8		
assistant	assistant	8	3	
assistant	assistante	8	5	
atmosphère		8		
attitude		8		
auberge	(de jeunesse)	8		
aussi bien		8		
baguette		8		
balader		8		
balader	(balader	8	4	
balader	(se balader	8	4	
ballet		8		
barque		8		
bâtir		8		
beignet		8		
bon	(nom.)	8		
bourgeois		8		
bourgeois	(bourgeois (nom.)	8	5	
bourgeois	(bourgeois (adj.)	8	2	
bourgeois	(bourgeoise (nom.)	8	1	
bourse		8		
bourse	(bourse (universitaire	8	5	
bourse	(bourse (porte-monnaie)	8	2	
bourse	(bourse du travail	8	1	
brun		8		
brun	brun 	8	3	
brun	brune	8	5	
bus	(autobus)	8		
but		8		
butte		8		
calculer		8		
camping		8		
cargo		8		
catin	(poupée, patois du berry)	8		
celle-ci		8		
centaine		8		
chic		8		
circulation		8		
claquer		8		
claquer	(claquer (éclater, se casser	8	5	
claquer	(claquer (mourir)	8	1	
claquer	(claquer (donner une claque)	8	1	
cloison		8		
commerçant		8		
commissariat		8		
commun		8		
commun	commun	8	3	
commun	commune	8	5	
confort		8		
congé		8		
conseiller		8		
conserve		8		
conserver		8		
construction		8		
contenter	(pronom.)	8		
convenir		8		
copie		8		
copie	(copie (imitation, reproduction)	8	2	
copie	(copie (devoir)	8	6	
costume		8		
courrier		8		
crayon		8		
culot		8		
cultiver		8		
cultiver	(cultiver	8	4	
cultiver	(se cultiver	8	4	
dahu		8		
danger		8		
dépense		8		
déposer		8		
détendre		8		
détendre	(détendre	8	4	
détendre	(se détendre	8	4	
détente		8		
difficulté		8		
disposition		8		
distraire		8		
doué		8		
droit	(adj.)	8		
droit	droit	8	4	
droit	droite	8	4	
duodénum		8		
échanger		8		
échapper		8		
échapper	(échapper	8	6	
échapper	(s'échapper	8	1	
entourer		8		
épée		8		
épouvantable		8		
essuyer		8		
essuyer	(essuyer 	8	6	
essuyer	(s'essuyer	8	2	
étoffe		8		
fâcher		8		
fâcher	(fâcher	8	4	
fâcher	(se fâcher	8	4	
fauteuil		8		
ficelle		8		
fixer		8		
fonction		8		
formule		8		
fosse		8		
fouiller		8		
fouiller	(fouiller	8	6	
fouiller	(se fouiller	8	2	
foule		8		
fou-rire		8		
fréquenter		8		
fruitier		8		
fruitier	(fruitier (verger)	8	1	
fruitier	(fruitier (marchand	8	4	
fruitier	(fruitière	8	3	
fromage		8		
fumier		8		
appendicite		8		
gendarmerie		8		
génération		8		
glace		8		
glace	(entremet, dessert)	8		
grimper		8		
grimper	(grimper	8	7	
grimper	(se grimper	8	1	
habitation		8		
hésiter		8		
honte		8		
horreur		8		
idéal		8		
immense		8		
importe	(n'importe lequel,n'importe où)	8		
incapable		8		
industriel		8		
infernal		8		
inimaginable		8		
inquiet		8		
inquiet	inquiet	8	6	
inquiet	inquiète	8	2	
institut		8		
longueur		8		
luxe		8		
mairie		8		
mannequin		8		
matelas		8		
mélanger		8		
ménagère		8		
milliard		8		
minimum		8		
moindre		8		
mouiller		8		
moyenne	(nom.)	8		
musicien		8		
naissance		8		
neiger		8		
nul		8		
oignon		8		
ordonnance		8		
panneau		8		
pare		8		
partager		8		
pâté		8		
pêcher		8		
peindre		8		
personnellement		8		
pianiste		8		
pierre		8		
poli		8		
posséder		8		
poursuivre		8		
préfecture		8		
primaire		8		
procurer		8		
profondeur		8		
prononciation		8		
propre	(propriété)	8		
psychotechnicien		8		
psychotechnicien	psychotechnicien	8	1	
psychotechnicien	psychotechnicienne	8	7	
quant		8		
quelconque		8		
relation		8		
religion		8		
représentant		8		
représentation		8		
reprocher		8		
reprocher	(reprocher	8	1	
reprocher	(se reprocher	8	7	
respirer		8		
responsabilité		8		
retaper		8		
retaper	(retaper	8	6	
retaper	(se retaper	8	2	
réveillon		8		
revue		8		
revue	(revue (théâtre)	8	1	
revue	(revue (terme militaire)	8	2	
revue	(revue (périodique)	8	5	
rigolo		8		
rue	(nom.)	8		
risque		8		
rural		8		
sacrifier		8		
salir		8		
salir	(salir	8	4	
salir	(se salir	8	4	
saluer		8		
salut		8		
satisfaction		8		
sécurité		8		
seigneur		8		
septième		8		
sketch		8		
s.n.c.f.		8		
soi-disant		8		
soif		8		
son	(nom.)	8		
soulever		8		
sous-	(mot composé)	8		
sous-	(sous-clé	8	1	
sous-	(sous-directeur	8	1	
sous-	(sous-lieutenant	8	2	
sous-	(sous-marin	8	1	
sous-	(sous-sol	8	1	
sous-	(sous-préfecture	8	1	
sous-	(sous-titre	8	1	
spécialement		8		
spécialiste		8		
spécialité		8		
susceptible		8		
tâche		8		
technicien		8		
tenter		8		
terrasse		8		
thème		8		
toile		8		
tonton		8		
tort		8		
total		8		
tranquillement		8		
tronc		8		
trottoir		8		
tuberculeux		8		
tuberculeux	tuberculeux	8	7	
tuberculeux	tuberculeuse	8	1	
tueur		8		
utile		8		
valise		8		
varier		8		
vilain		8		
vilain	vilain	8	6	
vilain	vilaine	8	2	
violet		8		
acheteur		7		
acte		7		
acier		7		
aide	(nom. fém.)	7		
alentour		7		
allo		7		
amitié		7		
ampoule	(lampe)	7		
analyse		7		
annoncer		7		
appendice		7		
apprentissage		7		
armoire		7		
artistique		7		
aussitôt		7		
autocar		7		
antenne		7		
avaler		7		
bah !		7		
banal		7		
banquier		7		
bas	(de haut)	7		
bavarder		7		
beau-père		7		
berceuse		7		
berrichon		7		
berrichon	(berrichon (nom.)	7	1	
berrichon	(berrichon (patois)	7	2	
berrichon	(berrichon (adj.)	7	1	
berrichon	(berrichonne (adj.)	7	3	
bijou		7		
bled		7		
blesser		7		
bobine		7		
bol		7		
bonbon		7		
bonheur		7		
brancher		7		
buffet		7		
buffet	(buffet (meuble)	7	5	
buffet	(buffet (restaurant)	7	1	
buffet	(buffet (argot)	7	1	
calme		7		
calme	(calme (nom.)	7	1	
calme	(calme (adj.)	7	6	
calmer		7		
camembert		7		
capital	(nom.)	7		
capital	capital	7	1	
capital	capitaux	7	6	
caractéristique	(nom. et adj.)	7		
carpette		7		
cartable		7		
castor		7		
cause		7		
cendre		7		
champion		7		
champion	champion	7	6	
champion	championne	7	1	
charme		7		
chirurgien		7		
choc		7		
citer		7		
civilisation		7		
claque	(gifle)	7		
clinique		7		
clinique	(clinique (nom.)	7	5	
clinique	(clinique (adj.)	7	2	
clou		7		
comptabilité		7		
concerner		7		
confortable		7		
consolent		7		
contravention		7		
correct		7		
correct	correct	7	2	
correct	correcte	7	5	
corvée		7		
courage		7		
couture		7		
couvert		7		
création		7		
créole		7		
créole	(créole (nom.)	7	4	
créole	(créole (adj.)	7	3	
cuiller		7		
cylindre		7		
dangereux		7		
dangereux	dangereux	7	6	
dangereux	dangereuse	7	1	
dater		7		
débarquer		7		
décharger		7		
déclarer		7		
décrire		7		
demande		7		
déménager		7		
demoiselle		7		
dépoussiérer		7		
diable		7		
discours		7		
distance		7		
diviser		7		
dortoir		7		
échelle		7		
éclair		7		
éclater		7		
écraser		7		
éditeur		7		
édition		7		
emballer		7		
émotion		7		
enchanter		7		
équiper		7		
escale		7		
entendu		7		
excuse		7		
expert	(nom et adj.)	7		
facilité		7		
fatigue		7		
faubourg		7		
fier		7		
flic		7		
fonds	(argent)	7		
formation		7		
fortune		7		
foulard		7		
futur		7		
gâter		7		
gênant		7		
gênant	gênant	7	6	
gênant	gênante	7	1	
gérance		7		
geste		7		
gilet		7		
grâce		7		
graisse		7		
grands-parents		7		
gruyère		7		
guichet		7		
héritier		7		
héritier	héritier	7		
héritier	héritière	7		
historique		7		
honneur		7		
hygiène		7		
inconscient		7		
industrie		7		
interprète		7		
intervenir		7		
invraisemblable		7		
lavabo		7		
légèrement		7		
levier		7		
libération		7		
liqueur		7		
livrer		7		
livrer	(livrer	7	6	
livrer	(se livrer	7	1	
maigre		7		
mare		7		
marron		7		
mécanicien		7		
médical		7		
mélange		7		
mémé		7		
merde		7		
messe		7		
mince		7		
mobilier		7		
moche		7		
moniteur		7		
moniteur	moniteur	7	1	
moniteur	monitrice	7	6	
muscle		7		
négociant		7		
nègre		7		
nègre	nègre	7	6	
nègre	négresse	7	1	
net		7		
net	net	7	6	
net	nette	7	1	
observer		7		
omelette		7		
orthographe		7		
paix		7		
parfois		7		
passé	(nom.)	7		
patience		7		
penderie		7		
perfection		7		
permanent		7		
permanent	permanent	7	3	
permanent	permanente	7	4	
permis		7		
persuader		7		
penser		7		
phare		7		
physique		7		
physique	(physique (nom.)	7	5	
physique	(physique (adj.)	7	2	
pitié		7		
pittoresque		7		
poète		7		
portière		7		
potable		7		
pourvu que		7		
précédent		7		
précédent	précédent	7	3	
précédent	précédente	7	4	
présence		7		
présent	(adj.)	7		
prisonnier		7		
procédé		7		
proche		7		
production		7		
progrès		7		
proprement		7		
psychologie		7		
publicitaire		7		
punir		7		
quille		7		
racheter		7		
rattraper		7		
rattraper	(rattraper	7	5	
rattraper	(se rattraper	7	2	
réagir		7		
rechercher		7		
réciter		7		
récolter		7		
récupérer		7		
redonner		7		
remise		7		
remorque		7		
remuer		7		
remuer	(remuer	7	5	
remuer	(se remuer	7	2	
renne		7		
répertoire		7		
réservoir		7		
responsable		7		
ressentir		7		
ressentir	(ressentir	7	5	
ressentir	(se ressentir	7	2	
rideau		7		
ridicule		7		
rond	(argent)	7		
sachet		7		
sans que		7		
secours		7		
sergent		7		
serrer		7		
sien		7		
sien	sien	7	3	
sien	sienne	7	4	
sieste		7		
s'il vous plait		7		
soin		7		
songer		7		
soufflerie		7		
studio		7		
surprise		7		
taille-crayon		7		
tailler		7		
ténor		7		
terriblement		7		
territoire		7		
thèse		7		
ticket		7		
timide		7		
tonne		7		
travailleur		7		
travailleur	travailleur	7	6	
travailleur	travailleuse	7	1	
tremper		7		
trimestre		7		
troll		7		
turbine		7		
vaisselle		7		
veau		7		
vedette		7		
victime		7		
vis à vis		7		
vivres	(nom	7		
voyageur		7		
waters		7		
accord		6		
achever		6		
âgé		6		
aigu		6		
aller	(nom.)	6		
âne		6		
angle		6		
anniversaire		6		
antipathique		6		
appétit		6		
applaudir		6		
apprécier		6		
approuver		6		
ardoise		6		
arme		6		
arraché	(nom textile)	6		
arrière-grand-tante		1		
arrière-grands-parents		1		
arrière-arrière-grands-parents		2		
arrière-petits-enfants		1		
arrière-petit-neveu		1		
arrondissement		6		
articulation		6		
aspirateur		6		
augmentation		6		
automatique		6		
autorité		6		
autorité	(autorité (pouvoirs)	6	4	
autorité	(autorité (qualité morale) 	6	2	
baratin		6		
barrage		6		
barrière		6		
baser	(pronom.)	6		
batteuse	(machine agricole)	6		
bazar		6		
beauté		6		
belge		6		
belge	(nom.)	6	1	
belge	(adj.)	6	5	
bicycle		6		
bougie		6		
à bout de		6	2	
jusqu'au bout		6	3	
bout à bout		6	1	
caméra		6		
cancer		6		
carmélite		6		
carnet		6		
carotte		6		
carrelet		6		
carter		6		
catalogue		6		
catastrophe		6		
catholique		6		
catholique	(nom.)	6	2	
catholique	(adj.)	6	3	
catholique	(dans : pas très (catholique	6	1	
certain	(sûr)	6		
classer		6		
commentaire		6		
commis		6		
commis	commis	6	5	
commis	commise	6	1	
commissionnaire		6		
copier		6		
communication		6		
compartiment		6		
compliment		6		
compte-rendu		6		
comptoir		6		
conclusion		6		
concurrence		6		
cerveau		6		
chéri		6		
chique		6		
cimetière		6		
cinquantaine		6		
cire		6		
classement		6		
club		6	3	
colonne		6		
colonne	(architecture	6	4	
colonne	(armée	6	2	
commande		6		
constamment		6		
contre-espionnage		6		
contrôle		6		
convenable		6		
corne		6		
correctement		6		
correspondance		6		
couple		6		
croûte		6		
cube		6		
cube	(objet	6	2	
cube	(mesure	6	4	
curiste		6		
débarquement		6		
découper		6		
définition		6		
dégager		6		
dégager	(dégager	6	5	
dégager	(se dégager	6	1	
délégué	(nom.)	6		
déshérité		6		
diction		6		
discussion		6		
dispensaire		6		
dominer		6		
doucement		6		
douer		6		
dresser		6		
dresser	(dresser	6	5	
dresser	(se dresser	6	1	
durant		6		
écarter		6		
effectuer		6		
emballage		6		
émouvoir		6		
encourager		6		
étrange		6		
exceptionnel		6		
exiger		6		
extrême		6		
faillir		6	1	
faillir	(faillir	6	5	
faillir	(faillir à	6	1	
fantôme		6		
fatigant		6		
fatigant	fatigant	6	5	
fatigant	fatigante	6	1	
faucher		6		
faucher	(faucher (voler)	6	4	
faucher	(être fauché (sans argent)	6	2	
feuille	(papier)	6		
fiche		6		
fidèle		6		
fixe	(nom et adj.)	6		
fonder		6		
fonder	(fonder	6	5	
fonder	(se fonder	6	1	
fontaine		6		
fouille		6		
frein		6		
fréquemment		6		
frotter		6		
fusil		6		
gabardine		6		
gagnant	(nom.)	6		
géographique		6		
glacer		6		
gras		6		
grec		6		
grec	(langue	6	4	
grec	(adj	6	2	
grossièreté		6		
honnête		6		
honteux		6		
honteux		6		
honteux	honteux	6	4	
honteux	honteuse	6	2	
hors		6		
humain	(adj.)	6		
imbécile		6		
importer	(impersonnel)	6		
impôt		6		
indien		6		
indien	indien	6	5	
indien	indienne	6	1	
indiscret		6		
indiscret	indiscret	6	5	
indiscret	indiscrète	6	1	
inscription		6		
insister		6		
inspirer		6		
inspirer	(inspirer	6	4	
inspirer	(s'inspirer	6	2	
instructif		6		
instructif	instructif	6	3	
instructif	instructive	6	3	
instrument		6		
interroger		6		
intestins		6		
inverse		6		
je ne sais quoi		6		
kermesse		6		
larme		6		
libérer		6		
libérer	(libérer	6	5	
libérer	(se libérer	6	1	
lire	(monnaie)	6		
lis		6		
livraison		6		
locataire		6		
maigrir		6		
maintenir		6		
manifestation		6		
manifester		6		
marraine		6		
massif		6		
méfier	(pronom.)	6		
mêler		6		
mêler	(mêler	6	3	
mêler	(se mêler	6	3	
mensonge		6		
mention		6		
mentir		6		
menu		6		
métal		6		
méthode		6		
mil		6		
millier		6		
mise		6		
montre		6		
mouche		6		
mouette		6		
nef		6		
nulle part		6		
nylon		6		
obus		6		
odeur		6		
oiseau		6		
onde		6		
orchestre		6		
organe		6		
outil		6		
papeterie		6		
pardi		6		
passionner		6		
peiner		6		
pendant	(adj.)	6		
pente		6		
personnalité		6		
perte		6		
peuple		6		
pinceau		6		
pipe		6		
piston		6		
placard		6		
planquer		6		
planquer	(planquer	6	3	
planquer	(se planquer	6	3	
pois		6		
pondre		6		
pratiquer		6		
pratiquer	(pratiquer	6	5	
pratiquer	(se pratiquer	6	1	
prière		6		
prise		6		
profondément		6		
proportion		6		
provenir		6		
provincial	(adj.)	6		
proximité		6		
psychiatrique		6		
quatorzième		6		
qui c'est qui ?		6		
qui est-ce qui ?		6		
radiateur		6		
ragoût		6		
ranger		6		
rassembler		6		
rassembler	(rassembler	6	5	
rassembler	(se rassembler	6	1	
ration		6		
réchaud		6		
réclame		6		
redresser		6		
redresser	(redresser	6	3	
redresser	(se redresser	6	3	
réfectoire		6		
règle		6		
reine		6		
